country,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,24:00:00
AT,6370.10674764121,6219.736280546538,6022.08042828124,6019.746937651626,6365.202552769941,7317.484684297007,8384.714648174377,8885.611183790676,8989.381523513508,9102.705170091902,9293.99669428375,9198.664552812155,9061.331129270602,8989.378230564615,8985.450445530805,8937.145782186364,8869.35456979507,8822.681964365303,8546.600023420579,8200.278023287205,7894.760978581641,7740.187498346328,7249.601408804663,6688.408933409331
BA,1243.9463698017084,1150.4252002981752,1101.0481174716542,1084.2691849138635,1098.1829871769467,1189.0331775245372,1383.2536214888764,1585.949510811871,1699.863575936494,1724.3429903229332,1710.1883357014722,1694.6300546146806,1677.8294646791164,1711.5403694799934,1718.393114515417,1726.1031220206723,1804.2498910472564,1855.9325084364489,1837.7073618194295,1822.5091080861785,1778.3693982583995,1690.7713837631081,1564.3763429885055,1409.945986077279
BE,9398.068698026049,8852.150528912,8484.624925158354,8418.899782188762,8452.135559219107,8916.905857298127,10001.99089212104,10973.696031352709,11350.281124389878,11484.525398095784,11603.859303260355,11779.377493089454,11524.58934266255,11494.647161540472,11343.20169974788,11337.985677406466,11432.458440555278,11839.48117728118,11830.292610482154,11411.669445260366,10832.904565435078,10320.740150980078,10315.897177164701,10080.246142552776
BG,3770.4733016222917,3522.0343833716593,3371.9260264597174,3341.4668889839763,3358.119950780982,3472.6201499781164,3866.1071141858483,4239.663274886466,4472.314996311665,4555.016325352955,4480.5996069650355,4490.605241643781,4392.786014553908,4425.006542661627,4398.006182863017,4413.315517562942,4484.932832580047,4704.69306095004,4875.480429316135,4874.348836958347,4746.887678251019,4637.277201750722,4428.14462061081,4110.7874035925015
CH,7387.601463616282,7175.962097305526,6966.750150993299,6777.037133306653,7036.961459206303,7828.1358202689935,8801.465509723683,9485.380923000685,9503.139312231662,9629.645758806068,9514.618352630197,9490.858781262174,9150.044417332028,9118.781590410224,8979.887676292938,9049.21911892814,9349.813883706971,9454.40250098156,9293.461644592684,8870.01797554163,8527.740092038954,8316.452899822063,7924.1627250377915,7614.653645853979
CY,404.2286910440307,370.5104878708953,351.74879624065943,345.6194493144276,346.94042624744816,366.56945384131825,419.2858543124173,478.2130212945631,514.966140922741,527.1207092764089,526.1223832295509,529.1776531142766,534.7628164649623,536.6470853069331,542.3381823770887,545.3165631855372,566.8911715777358,622.7586537927905,631.3392709101679,623.2309190080185,601.8175808618765,565.3958688800922,513.8842193778837,460.7736931415275
CZ,6690.12091420741,6733.844223081438,6591.433253648956,6499.540723243614,6590.776496512729,7076.750904881005,8235.776019245375,8697.8376595453,8752.540741939585,8816.722295192274,8756.865512758022,8732.966509529622,8839.579375651614,8792.127958221332,8778.889399752492,8856.20328414303,8997.58094500196,8997.583986292166,8787.986277930318,8737.050674099288,8510.32559115285,7981.788154155259,7490.284929012061,7067.988130437262
DE,52775.72557469118,50584.26427958452,49572.828709082925,49972.230289609186,51584.20712953675,55510.329848922476,64353.79367567852,71429.93529140778,73604.29566913209,73736.36610748032,74642.97388212584,75492.5685472941,74440.58972279336,73765.01055038493,72531.7364778626,72047.53953899111,72725.26269011055,74531.02499525461,74232.2108977882,72774.79554294699,68866.86019023602,64956.01277135356,61133.40453419386,55887.70956730266
DK,3202.9824704953,3162.145051695013,3121.261954956991,3113.1849118603027,3176.726727519447,3426.9653185907455,4083.6733081922825,4818.067091892561,5032.4890055652795,5024.259780482766,5066.601045819,5017.870796267346,4944.500381551263,4948.041586921617,4849.5092136040175,4813.553808791106,4929.223304540772,5184.4204313697155,4984.0931861235595,4707.094684609448,4422.288741629016,4133.606505955529,3805.0265857611676,3441.973426165803
EE,641.4045907573498,620.3977182843839,606.317847866768,586.1285028897173,603.4630938829456,693.0224343984468,803.8346193819307,903.9062997214563,948.1576578799604,953.1144790418455,952.7461174646894,938.7446557937319,949.4068948217308,932.6177478967874,923.1835773397344,894.8269559319039,877.8366251540281,864.3148528758043,848.4624767802777,827.8535171698649,814.3025575675949,781.371435328618,736.0778858775595,674.5881706500775
ES,26135.867791734545,24332.61388808009,23327.974914989594,22790.442983088265,22804.731967528234,23362.49355121174,25616.903762768176,29617.810129551297,31951.939954318055,32719.47658353827,33077.27707912621,33011.302179822844,32907.8663135767,32683.515902234998,31558.434118714933,31025.075704682,30902.78180074409,31572.690248257757,33232.9155778148,33824.192631231446,34228.74243710138,33440.105112174184,30883.858740071177,28147.65775223883
FI,9368.753727681957,9165.151416934548,9099.103983733314,9145.997798226555,9558.077623160289,10446.928402006693,11046.469098837055,11281.31223975757,11196.87444724483,11085.942948456497,11026.596672586616,11014.054746039568,10935.099063393685,10922.074392709974,11057.108804714167,11194.644227203724,11173.811113318448,11184.598046285719,11225.666504237353,11120.542101355968,10614.924906766335,10544.781951801477,10262.82115681193,9719.640403106787
FR,53260.107690161945,51901.28110582846,49754.704883771105,47837.928647000634,48199.31967398042,51748.65305471256,58542.04048045396,63299.56649995992,63729.44171931117,63868.02235596592,63638.66178339181,64033.30869622651,63393.23607324111,61809.93228846158,60073.004123743165,59034.45651000084,59419.59586223843,62838.033196406985,65579.93681876268,63482.03558198184,59192.44999471292,55825.92872849568,58300.213962760856,57110.10913477754
GB,33966.46937169307,31922.0567429877,30962.408308751554,29824.53449624349,28798.766550301516,28379.799899025962,30178.83732091434,36910.08501915463,44892.34959635239,46833.480781280414,47041.78185890261,46895.473822973494,47013.21094389472,47291.43593716101,47165.68969655914,47009.261197589316,48227.400291181504,52532.69611420655,54154.01371763073,53456.709087458075,51268.56017147901,48020.757241412946,43609.54700020847,38493.01659582614
GR,4844.484672976499,4741.234381063481,4599.035551182756,4529.630674702915,4633.829404604492,5057.109632336383,5729.663437033908,6159.399043462305,6544.190211580693,6641.958931089983,6712.186224096077,6763.413751383008,6823.030279974763,6687.551850592234,6729.725419277631,6722.725068876293,7013.511348977084,7300.113965401886,7397.382431022283,7387.398967013186,6997.779466894672,6394.1559273977455,5876.775698180837,5336.973151676588
HR,1688.849116529097,1651.2822499992453,1578.6079981759058,1561.5548836872435,1594.559168753368,1702.3757757411233,1930.488179964551,2162.1471326238707,2262.114814199762,2277.5838362337895,2234.235182578252,2263.5849558372834,2240.8808570104143,2182.4143370130605,2128.824974313409,2111.692115454181,2259.517961763957,2407.6797169235624,2432.3730267579394,2464.40888273848,2404.716358542566,2351.6620945911704,2162.927307204959,1887.8487200823874
HU,4046.0947339962313,3864.843751931041,3669.536935375234,3608.1035318663553,3710.7236960001323,3979.0541454246313,4672.5031510272,5025.329014630699,5062.092188689276,5117.251088443225,5115.615463496007,5142.3008254834085,5157.916979177433,5084.355859285513,5078.862279020255,5112.192884487324,5059.449722611716,5005.982398913629,4998.4054688711385,5037.987540331465,5137.150607405598,4979.125934590495,4672.532557513698,4474.870992065399
IE,3062.9385959764886,2795.875184092837,2576.083945836379,2423.820579550929,2333.2668248193136,2313.646798087733,2369.282486755292,2644.207528880356,3219.896394380053,3580.0975167537713,3641.0789328589226,3618.61105812594,3617.2447697351063,3661.4241977878246,3614.9885398022893,3599.6722219285903,3674.1601695236955,3929.415011823027,4201.982728749462,4177.177896058406,4031.9317579811345,3872.2030286311474,3639.0354997177137,3294.2722448406967
IS,2074.4870353216324,2059.450754716204,2050.931960994232,2048.159042031326,2048.6245511838165,2048.224812364972,2079.633536516355,2133.713306936986,2188.9940962497512,2196.6897827189905,2181.66693526265,2202.7578025814837,2187.739371921722,2198.5871201475484,2190.4025115923314,2181.718555900492,2167.743056888108,2120.9746880950815,2175.0720811625724,2179.6074890721266,2175.5476994455807,2142.945918816093,2128.2344034680796,2096.1122281298926
IT,29437.682706442083,27523.95098942367,26607.769438443873,26287.246674294827,26517.02716660442,28396.864726796928,34081.101337350156,40681.45215292793,45207.62652807808,46630.705216362694,46536.158730238654,46532.13525645012,43788.54432975124,43065.47702050096,44243.04923126898,45323.19482330146,46829.63320998859,48712.402568078935,47865.35115860626,47065.1653617961,44523.94886178054,40961.18526789777,36604.436002686576,32847.129086012385
LT,1021.3179917781749,996.5721450317591,989.2911512283109,999.182727285114,1061.8624023299665,1273.8927480451462,1479.1793362044634,1599.3988908178349,1629.7230015462883,1624.618322949169,1609.408139984949,1571.1823344734416,1584.8690953134808,1569.6897133927243,1571.0562377525562,1602.083125750737,1608.8050395572868,1587.1455648878925,1555.3191177540446,1514.6851276530447,1426.8725583126798,1277.3525006304274,1152.3665119044015,1071.4410040195303
LU,567.9201953631332,564.2425692941717,554.4524696562366,524.8553441160848,524.1438254785301,546.5048627561654,614.4747404274731,682.5927333967193,710.0510319171369,736.3312365197393,744.5137065732958,769.6422336678455,746.393721770152,740.4983418003962,716.7604383586032,714.3806984444948,706.5849947686074,726.2867699658236,706.8573160648557,684.3843023806966,687.7706550891794,636.8383828922547,617.9708953477505,576.9167564311617
LV,628.8213411667911,614.2873262415739,608.4230071284553,625.5441716625784,658.865954988335,742.4371303576936,869.7569739058234,981.9605049062385,1037.0888880890793,1048.0919252517915,1029.4190923325752,989.0497475120458,1009.6773839602511,1006.4035599604116,990.6759527391962,981.0282676515003,957.2613099172202,967.1541178606393,961.7169107333807,948.7710517252057,920.6439961646253,832.4823092735694,736.0041032452766,669.1017454291207
