Country,day,month,year,repr,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,24:00:00
HU,20,1,2016, 100,4620,4434,4254,4157,4272,4626,5438,5739,5745,5757,5738,5763,5755,5682,5673,5763,5907,6041,5963,5848,5640,5430,5190,4946
HU,17,2,2016, 100,4309,4125,3958,3884,3995,4352,5069,5325,5378,5443,5481,5539,5551,5469,5461,5488,5449,5629,5687,5610,5406,5175,4917,4670
HU,16,3,2016, 100,3601,3516,3371,3288,3475,3919,4739,5102,5187,5210,5205,5253,5313,5269,5241,5286,5193,5213,5546,5575,5382,5168,4909,4652
HU,20,4,2016, 100,4074,3886,3688,3634,3720,3978,4590,4956,4967,5005,4995,5009,5032,4946,4944,4964,4914,4835,4789,4920,5165,4876,4565,4417
HU,18,5,2016, 100,4059,3859,3648,3592,3679,3887,4576,4940,4978,5053,5052,5076,5079,5004,5003,5034,4961,4857,4782,4809,4983,4922,4593,4397
IS,20,1,2016, 100,2099,2091,2083,2078,2080,2015,2110,2175,2234,2250,2254,2243,2239,2246,2243,2228,2225,2246,2233,2223,2205,2185,2156,2123
IS,17,2,2016, 100,2093,2077,2067,2065,2066,2068,2078,2134,2214,2218,2127,2209,2203,2212,2204,2191,2175,2152,2207,2208,2192,2127,2138,2107
IS,16,3,2016, 100,2063,2047,2039,2037,2039,2051,2077,2128,2168,2175,2189,2194,2168,2184,2173,2166,2146,2062,2152,2154,2161,2138,2117,2083
LV,17,2,2016, 100,670,655,649,662,712,834,967,1061,1113,1105,1077,1026,1040,1036,1021,1014,1015,1091,1068,1031,969,873,787,718
LV,16,3,2016, 100,668,657,647,657,696,775,887,1007,1057,1071,1058,1022,1050,1045,1026,1014,982,1006,1038,1012,943,847,754,692
LV,20,4,2016, 100,597,581,579,604,629,700,833,951,1014,1028,1006,963,982,979,960,942,913,904,889,893,900,816,713,646
NI,20,1,2016, 100,919,812,791,769,757,746,779,924,1198,1330,1361,1353,1333,1317,1278,1275,1306,1443,1638,1583,1500,1402,1293,1140
NI,17,2,2016, 100,926,826,803,781,751,748,774,917,1126,1260,1350,1358,1360,1352,1299,1273,1272,1321,1447,1526,1463,1362,1251,1099
SE,20,1,2016, 100,20190,20000,19919,20097,20495,21332,23512,25452,25494,25316,25410,25142,24752,24510,24529,24902,25341,25813,25419,25063,24412,23597,22529,21563
SE,17,2,2016, 100,18157,17770,17732,17847,18247,19038,21063,22502,22745,22473,22178,21826,21521,21197,21035,21092,21332,22514,22562,22108,21469,20653,19577,18587
SE,16,3,2016, 100,15533,15347,15402,15528,15842,16844,18687,20137,20081,19666,19232,18702,18319,18094,17883,17740,17669,18213,18978,19177,18649,17890,16935,16038
