Country,day,month,year,repr,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,24:00:00
AT,19,1,2011, 100,7354,7071,6814,6791,7089,7879,9103,9811,10010,10153,10279,10221,10111,10106,10108,10121,10358,10423,10196,9684,9036,8767,8467,7849
AT,16,2,2011, 100,7523,7282,7035,6977,7302,8002,9141,9834,10142,10343,10458,10377,10273,10175,10071,9970,10055,10287,10203,9720,9073,8774,8387,7855
AT,16,3,2011, 100,6813,6563,6342,6327,6693,7512,8478,9144,9414,9551,9707,9678,9563,9465,9328,9231,9194,9447,9643,9209,8555,8168,7824,7242
AT,20,4,2011, 100,6551,6276,6052,6069,6381,7043,7946,8573,8784,8905,9014,8969,8869,8695,8513,8349,8164,8089,8060,8154,8074,7850,7411,6918
AT,18,5,2011, 100,6348,6078,5807,5776,6089,6816,7802,8367,8571,8664,8829,8818,8758,8666,8540,8390,8233,8092,7939,7748,7775,7635,7210,6743
AT,15,6,2011, 100,6420,6186,5972,5891,6087,6775,7753,8391,8647,8803,9033,9044,8960,8869,8816,8688,8595,8457,8270,7992,7760,7728,7333,6848
AT,20,7,2011, 100,6421,6151,5977,5908,6208,6834,7781,8428,8721,8958,9251,9188,9017,8901,8766,8610,8472,8397,8227,7973,7807,7656,7200,6784
AT,17,8,2011, 100,6177,5936,5697,5624,5883,6548,7455,8101,8426,8691,8953,8933,8816,8713,8616,8448,8333,8218,8030,7839,7818,7631,7090,6605
AT,21,9,2011, 100,6410,6149,5959,5900,6211,7194,8225,8769,8908,9043,9205,9138,9002,8850,8713,8570,8436,8410,8608,8655,8109,7726,7271,6795
AT,19,10,2011, 100,6739,6496,6309,6287,6629,7534,8697,9157,9181,9175,9265,9149,9024,8934,8854,8769,8851,9247,9487,9097,8465,8037,7602,7134
AT,16,11,2011, 100,7243,6990,6823,6743,7133,7948,9097,9731,9858,9937,10028,9883,9778,9714,9689,9741,10139,10217,9954,9420,8795,8486,8081,7639
AT,21,12,2011, 100,7755,7524,7298,7222,7508,8256,9491,10133,10195,10217,10283,10182,10084,9986,10002,10203,10501,10524,10222,9772,9130,8858,8396,8114
BA,19,1,2011, 100,1285,1179,1135,1111,1130,1196,1337,1540,1681,1736,1746,1719,1708,1760,1747,1723,1796,1910,1877,1827,1777,1704,1627,1475
BA,16,2,2011, 100,1284,1191,1156,1133,1145,1212,1400,1566,1676,1721,1692,1680,1643,1714,1684,1663,1657,1773,1853,1831,1761,1680,1602,1465
BA,16,3,2011, 100,1175,1101,1057,1040,1062,1136,1263,1449,1586,1592,1614,1605,1550,1611,1599,1562,1544,1575,1739,1784,1693,1611,1480,1324
BA,20,4,2011, 100,1177,1063,1030,1000,1018,1074,1226,1407,1532,1549,1501,1491,1487,1468,1524,1474,1480,1434,1403,1523,1705,1660,1494,1340
BA,18,5,2011, 100,1130,1038,993,983,993,1014,1175,1363,1459,1486,1469,1467,1450,1441,1470,1448,1430,1390,1348,1397,1562,1603,1432,1275
BA,15,6,2011, 100,1085,1013,958,949,951,966,1107,1304,1409,1426,1432,1431,1439,1448,1488,1475,1434,1372,1342,1359,1437,1552,1409,1261
BA,20,7,2011, 100,1213,1110,1073,1045,1059,1071,1130,1326,1450,1521,1530,1541,1544,1537,1546,1523,1481,1428,1402,1406,1500,1539,1424,1283
BA,17,8,2011, 100,1164,1081,1054,1067,1046,1028,1117,1283,1397,1460,1474,1497,1542,1528,1561,1532,1528,1486,1473,1530,1630,1593,1450,1320
BA,21,9,2011, 100,1080,1019,993,978,975,1029,1160,1355,1435,1485,1472,1460,1448,1431,1451,1436,1407,1374,1424,1581,1555,1458,1310,1176
BA,19,10,2011, 100,1239,1167,1119,1093,1107,1177,1402,1550,1647,1624,1585,1564,1533,1522,1538,1513,1514,1543,1735,1812,1737,1641,1493,1345
BA,16,11,2011, 100,1323,1214,1155,1140,1138,1232,1433,1606,1710,1734,1705,1672,1645,1663,1666,1681,1789,1918,1866,1846,1803,1710,1606,1444
BA,21,12,2011, 100,1347,1260,1205,1174,1211,1301,1498,1665,1795,1815,1797,1770,1748,1780,1789,1794,1915,1997,1956,1926,1871,1799,1706,1511
BE,19,1,2011, 100,11106,10577,10174,10002,9998,10367,11444,12574,13009,13145,13246,13271,13151,13169,13145,13113,13081,13713,13881,13284,12637,12140,12267,12205
